root,definition
['ὄρεσ/'],"['ὄρος', 'ὄρεοςὄρους']"
['ὀρθό/'],"['ὀρθός', 'ὀρθή', 'ὀρθόν']"
['ὀρθο/'],"['ὀρθόω', 'ὤρθωσα', 'ὡρθώθην']"
['ὁρμά/'],"['ὁρμή', 'ὁρμῆς']"
['ὁρτά/'],"['ὁρτήἑορτή', 'ὁρτῆςἑορτῆς']"
['ὁρταδ/'],"['ὁρταζωἑορτάζω', 'ἑορτάσω', 'ἑώρτασα']"
['ὄρυγματ/'],"['ὄρυγμα', 'ὀρύγματος']"
['διώρυχ/'],"['διῶρυξ', 'διώρυχος']"
['ὅσο/'],"['ὅσος', 'ὅση', 'ὅσον']"
['τοσούτο/'],"['τοσοῦτος', 'τοσαύτη', 'τοσοῦτο']"
"['ὁ/', 'τιν/']","['οὐ', 'οὐκ', 'οὐχ', 'οὐ', 'οὐκ', 'οὐχ']"
['οὐδέν/'],['ὅτε']
['ὀφελ/'],"['ὀφείλω', 'ὀφειλήσω', 'ὠφείλησα', 'ὤφελον', 'ὠφείληκα', 'ὠφειλήθην']"
['πάγα/'],"['πάγη', 'πάγης']"
['πάγο/'],"['πάγος', 'πάγου']"
['πενθε/'],"['πενθέω', 'πενθήσω', 'ἐπένθησα', 'πεπένθηκα']"
['παίδ/'],"['παῖς', 'παιδός']"
['παιδ/'],"['παίζω', 'παίξω', 'ἔπαισα', 'πέπαικα', 'πέπαιγμαι', 'ἐπαίχθην']"
['παίδιο/'],"['παίδιον', 'παιδίου']"
['παιδίσκα/'],"['παιδίσκη', 'παιδίσκης']"
['παλλακά/'],"['παλλακή', 'παλλακῆς']"
['πάντ/'],"['πᾶς', 'πᾶσα', 'πᾶν']"
['παρήϊδ/'],"['παρηΐς', 'παρηΐδος']"
['παταγ/'],"['πατάσσω', 'πατάξω', 'ἐπάταξα', 'πεπάταγμαι', 'ἐπατάχθην']"
['πάταγο/'],"['πάταγος', 'πατάγου']"
['πατε/'],"['πατέω', 'πατήσω', 'ἐπάτησα', 'πεπάτηκα']"
['πατέρ/'],"['πατήρ', 'πατρός']"
['πάτριο/'],"['πάτριος', 'πάτρια', 'πάτριον']"
['παυ/'],"['παύω', 'παυσω', 'ἐπαυσα', 'πεπαυκα', 'πεπαυμαι', 'επαυθην']"
['πειρα/'],"['πειραω', 'πειράσω', 'ἐπείρασα', 'πεπείρακα', 'πεπείραμαι', 'ἐπειράθην']"
['πεμπ/'],"['πεμπω', 'πεμψω', 'ἐπεμψα', 'πεπομφα', 'πεπεμμαι', 'επεμφθην']"
['πέμπτο/'],"['πέμπτος', 'πέμπτη', 'πέμπτον']"
['περαιο/'],"['περαιόω', 'περαιώσω', 'ἐπεραίωσα', 'ἐπεραιώθην']"
['περθ/'],"['πέρθω', 'πέρσω', 'ἔπερσα', 'ἔπραθον']"
"['πετ/', 'πτ/']","['πίπτω', 'πεσέομαι', 'ἔπεσον', 'πέπτωκα']"
['εὐπετέσ/'],"['εὐπετής', 'εὐπετές']"
['πετα/'],"['πέταμαι', 'πτήσομαι', 'ἐπτόμην', 'ἐπτάμην', 'ἔπτην']"
['πετεινό/'],"['πετεινός', 'πετεινά', 'πετεινόν']"
"['προσ/', 'πται/']","['προσπταίω', 'προσπταίσω', 'προσέπταισα', 'προσέπταικα']"
['πήχυ/'],"['πῆχυς', 'πήχεοςπήχους']"
"['πι/', 'πο/']","['πίνω', 'πίομαι', 'ἔπιον', 'πέπωκα', 'πέπομαι', 'ἐπόθην']"
['πόσι/'],"['πόσις', 'πόσιοςπόσεως']"
['ποτό/'],"['ποτόν', 'ποτοῦ']"
['πιθ/'],"['πείθω', 'πείσω', 'ἔπεισα', 'ἔπιθον', 'πέπεικα', 'πέποιθα', 'πέπεισμαι', 'ἐπείσθην']"
['ἄπιστο/'],"['ἄπιστος', 'ἄπιστον']"
['πιθανό/'],"['πιθανός', 'πιθανή', 'πιθανόν']"
['πιστευ/'],"['πιστευω', 'πιστευσω', 'επιστευσα', 'πεπιστευκα', 'πεπιστευμαι', 'επιστευθην']"
['πίστι/'],"['πίστις', 'πίστιοςπίστεως']"
['πιστό/'],"['πιστός', 'πιστή', 'πιστόν']"
['πλε/'],"['πίπλημι', 'πλήσω', 'ἔπλησα', 'πέπληκα', 'πέπλησμαι', 'ἐπλήσθην']"
['πλέον/'],"['πλέων', 'πλείων', 'πλέον', 'πλεῖον']"
['ἐπίπλεο/'],"['ἐπίπλεος', 'ἐπίπλεον']"
['πλείστο/'],"['πλεῖστος', 'πλείστη', 'πλεῖστον']"
['πλήθεσ/'],"['πλῆθος', 'πλήθεοςπλήθους']"
['πληθώρα/'],"['πληθώρηπληθώρα', 'πληθώρηςπληθώρας']"
['πλεϝ/'],"['πλέω', 'πλεύσομαι', 'ἐπλευσα', 'πέπλευκα', 'πέπλευσμαι', 'ἐπλεύσθην']"
['πλοίο/'],"['πλοῖον', 'πλοίου']"
['πλέθρο/'],"['πλέθρον', 'πλέθρου']"
['πληγ/'],"['πλήσσωπλήττω', 'πλήξω', 'ἔπληξα', 'πέπληγα', 'πέπληγμαι', 'ἐπλήγην']"
['πλούτο/'],"['πλοῦτος', 'πλούτου']"
['πόδ/'],"['πούς', 'ποδός']"
['ποδεών/'],"['ποδεών', 'ποδεῶνος']"
['ποιε/'],"['ποιέω', 'ποιήσω', 'ἐποίησα', 'πεποίηκα', 'πεποίημαι', 'ἐποιήθην']"
['ποιητέο/'],"['ποιητέος', 'ποιητέα', 'ποιητέον']"
['ποικίλο/'],"['ποικίλος', 'ποικίλη', 'ποικίλον']"
['ποιμέν/'],"['ποιμήν', 'ποιμένος']"
['πόλεμο/'],"['πόλεμος', 'πολέμου']"
['πολέμιο/'],"['πολέμιος', 'πολεμίηπολεμία', 'πολέμιον']"
['πόλι/'],"['πόλις', 'πόλιοςπόλεως']"
['πολίτα/'],"['πολίτης', 'πολίτου']"
['πόνο/'],"['πόνος', 'πόνου']"
['πόρο/'],"['πόρος', 'πόρου']"
['ἀπορε/'],"['απορεω', 'απορησω', 'ηπορησα', 'ηπορηκα', 'ηπορημαι', 'ηπορηθην']"
['πορευ/'],"['πορεύω', 'πορεύσω', 'ἐπόρευσα', 'πεπόρευκα', 'πεπόρευμαι', 'ἐπορεύθην']"
['ποταμό/'],"['ποταμός', 'ποταμοῦ']"
['ὁπότερο/'],"['ὁπότερος', 'ὁποτέρηὁποτέρα', 'ὁπότερον']"
['πραγ/'],['πρηγ']
['πρέσβυ/'],"['πρέσβυς', 'πρέσβεοςπρέσβεως']"
['πρεσβῦτιδ/'],"['πρεσβῦτις', 'πρεσβύτιδος']"
['πρηϋν/'],"['πρηΰνωπραΰνω', 'ἐπρήϋναἐπράϋνα', 'ἐπρηΰνθηνἐπραΰνθην']"
['πρηγ/'],"['πρήσσω', 'πρήξω', 'ἔπρηξα', 'πέπρηχα', 'πέπρηγα', 'πέπρηγμαι', 'ἐπρήχθην']"
['πραγ/'],"['πράττω', 'πράξω', 'ἔπραξα', 'πέπραχα', 'πέπραγα', 'πέπραγμαι', 'ἐπράχθην']"
['πρᾶξι/'],"['πρᾶξις', 'πράξιοςπράξεως']"
['πρήγματ/'],"['πρῆγμαπρᾶγμα', 'πρήγματοςπράγματος']"
['πρότερο/'],"['πρότερος', 'προτέρηπροτέρα', 'πρότερον']"
['προτεραία/'],"['προτεραίηπροτεραία', 'προτεραίηςπροτεραίας']"
['πρώτο/'],"['πρῶτος', 'πρώτη', 'πρῶτον']"
['προπύλαιο/'],"['προπύλαιον', 'προπυλαίου']"
['προσκυνε/'],"['προσκυνέω', 'προσκυνήσω', 'προσεκύνησα', 'προσκεκύνηκα', 'προσκεκύνημαι', 'προσεκυνήθην']"
['πυθ/'],"['πυνθάνομαι', 'πεύσομαι', 'ἐπυθόμην', 'πέπυσμαι']"
['Πυθία/'],"['ΠυθίηΠυθία', 'ΠυθίηςΠυθίας']"
['πυκνό/'],"['πυκνός', 'πυκνή', 'πυκνόν']"
['πῦρ/'],"['πῦρ', 'πυρός']"
['πυραμίδ/'],"['πυραμίς', 'πυραμίδος']"
['ῥαΐδιο/'],['ῥηΐδιο']
['ῥαπιδ/'],['ῥαπίζω']
['ῥάχι/'],"['ῥάχις', 'ῥάχιοςῥάχεως']"
['ῥεϝ/'],"['ρεω', 'ρυησομαι', 'ερρυηκα', 'ερρυην']"
['ῥηΐδιο/'],"['ῥηΐδιοςῥᾴδιος', 'ῥηϊδίηῥᾳδία', 'ῥηΐδιονῥᾴδιον']"
['ῥυ/'],"['ῥύομαι', 'ῥύσομαι', 'ἐρρυσάμην']"
['ῥώμα/'],"['ῥώμη', 'ῥώμης']"
['σαφέσ/'],"['σαφής', 'σαφές']"
['σβε/'],"['σβέννυμι', 'σβέσω', 'ἔσβεσα', 'ἔσβην', 'ἔσβηκα', 'ἐσβέσθην']"
['σό/'],"['σόος', 'σόη', 'σόον']"
['σημαν/'],"['σημαίνω', 'σημανέω', 'ἐσήμηνα', 'σεσήμαγκα', 'σεσήμασμαι', 'ἐσημάνθην']"
['σήμαντρο/'],"['σήμαντρον', 'σημάντρου']"
['σίδηρο/'],"['σίδηρον', 'σιδήρου']"
['σιδήριο/'],"['σιδήριος', 'σιδήρια', 'σιδήριον']"
['σίτιο/'],"['σίτιον', 'σιτίου']"
['σιωπά/'],"['σιωπή', 'σιωπῆς']"
['σιωπα/'],"['σιωπάω', 'σιωπήσομαι', 'ἐσιώπησα', 'σεσιώπηκα', 'σεσιώπημαι', 'ἐσιωπήθην']"
['σκεδα/'],"['σκεδάννυμι', 'σκεδάσω', 'ἐσκέδασα', 'ἐσκέδασμαι', 'ἐσκεδάσθην']"
"['δια/', 'σκεδα/']",['σκεπ']
['κατάσκοπο/'],"['κατάσκοπος', 'κατασκόπου']"
['σκέπα/'],"['σκέπη', 'σκέπης']"
['σκευαδ/'],"['σκευάζω', 'σκευάσω', 'ἐσκεύασα', 'ἐσκεύακα', 'ἐσκεύασμαι', 'ἐσκευάσθην']"
['σκηπ/'],"['σκήπτω', 'σκήψω', 'ἔσκηψα', 'ἔσκηφα', 'ἔσκημμαι', 'ἐσκήφθην']"
['σκιά/'],"['σκιήσκιά', 'σκιῆςσκιᾶς']"
['σκόροδο/'],"['σκόροδον', 'σκορόδου']"
['σκότεσ/'],"['σκότος', 'σκότεοςσκότους']"
['σκυτάλα/'],"['σκυτάλη', 'σκυτάλης']"
['σκωπ/'],"['σκωπτω', 'σκώψομαι', 'ἔσκωψα', 'ἐσκώφθην']"
['σόο/'],"['σόοςσῶς', 'σόησῶς', 'σόονσῶν']"
['σώφρον/'],"['σώφρων', 'σῶφρον']"
['σοφό/'],"['σοφός', 'σοφή', 'σοφόν']"
['σπα/'],"['σπάω', 'σπάσω', 'ἔσπασα', 'ἔσπακα', 'ἔσπασμαι', 'ἐσπάσθην']"
['ἀσπαδ/'],"['ἀσπάζομαι', 'ἀσπάσομαι', 'ἠσπασάμην']"
['σπερχ/'],"['σπέρχω', 'σπέρξομαι', 'ἐσπερξάμην', 'ἐσπέρχθην']"
['σπονδά/'],"['σπονδή', 'σπονδῆς']"
['στα/'],"['ἵστημι', 'στήσω', 'ἔστησα', 'ἔστην', 'ἕστηκα', 'ἕσταμαι', 'ἐστάθην']"
['ἀνάστατο/'],"['ἀνάστατος', 'ἀνάστατον']"
['σταθμό/'],"['σταθμός', 'σταθμοῦ']"
['στάδιο/'],"['στάδιον', 'σταδίου']"
['στεινό/'],"['στεινόςστενός', 'στεινήστενή', 'στεινόνστενόν']"
['στελ/'],"['στελλω', 'στελεω', 'ἐστειλα', 'ἔσταλκα', 'ἐσταλμαι', 'εσταλην']"
['στενό/'],['στεινό']
['στήλα/'],"['στήλη', 'στήλης']"
['στοίχο/'],"['στοῖχος', 'στοίχου']"
['στόματ/'],"['στόμα', 'στόματος']"
['στρατό/'],"['στρατός', 'στρατοῦ']"
['στρατευ/'],"['στρατευω', 'στρατευσω', 'εστρατευσα', 'εστρατευκα', 'εστρατευμαι']"
['στρατηγό/'],"['στρατηγός', 'στρατηγοῦ']"
['στρατία/'],"['στρατίηστρατία', 'στρατίηςστρατίας']"
['στρεφ/'],"['στρεφω', 'στρεψω', 'ἐστρεψα', 'ἐστραμμαι', 'εστρεφθην', 'εστραφην']"
['συρμαία/'],"['συρμαίησυρμαία', 'συρμαίηςσυρμαίας']"
['σχιδ/'],"['σχίζω', 'σχίσω', 'ἔσχισα', 'ἔσχισμαι']"
['σωιδ/'],"['σῴζω', 'σώσω', 'σῴσω', 'ἔσωσα', 'ἔσῳσα', 'σέσωκα', 'σέσωμαι', 'σέσῳσμαι', 'ἐσώθην']"
['σώματ/'],"['σῶμα', 'σώματος']"
['ταγ/'],"['τασσωταττω', 'ταξω', 'ἐταξα', 'τεταχα', 'τεταγμαι', 'εταχθην']"
['τάξι/'],"['τάξις', 'τάξιοςτάξεως']"
['ταμία/'],"['ταμίηςταμίας', 'ταμίου']"
['ταραχ/'],"['ταράσσωταράττω', 'ταράξω', 'ἐτάραξα', 'τέτρηχα', 'τετάραγμαι', 'ἐταράχθην']"
['ταύρο/'],"['ταῦρος', 'ταύρου']"
['τάχεσ/'],"['τάχος', 'τάχεοςτάχους']"
['τάχιστο/'],"['τάχιστος', 'ταχίστη', 'τάχιστον']"
['τείχεσ/'],"['τεῖχος', 'τείχεοςτείχους']"
['τοίχο/'],"['τοῖχος', 'τοίχου']"
['τεκμήριο/'],"['τεκμήριον', 'τεκμηρίου']"
"['τελ/', 'τελε/']","['τέλλω', 'τελέω', 'τελέω', 'ἔτειλα', 'ἐτέλεσα', 'τετέλεκα', 'τέταλμαι', 'τετέλεσμαι', 'ἐτελέσθην']"
"['ἐπι/', 'τελ/']",['τέλειο']
['τέλεσ/'],"['τέλος', 'τέλεοςτέλους']"
['τελευτά/'],"['τελευτή', 'τελευτῆς']"
['τελευτα/'],"['τελευτάω', 'τελευτήσω', 'ἐτελεύτησα', 'τετελεύτηκα', 'τετελεύτημαι', 'ἐτελευτήθην']"
['τελευταίο/'],"['τελευταῖος', 'τελευταία', 'τελευταῖον']"
['τεμ/'],"['τεμνω', 'τεμεω', 'ἐτεμον', 'ἐταμον', 'τετμηκα', 'τετμημαι', 'ετμηθην']"
['σύντομο/'],"['σύντομος', 'σύντομον']"
['τεν/'],"['τένω', 'τενέω', 'ἔτεινα', 'τέτακα', 'τέταμαι', 'ἐτάθην']"
['τέσσαρ/'],"['τέσσαρεςτέτταρες', 'τέσσαρατέτταρα']"
['τετράγωνο/'],"['τετράγωνος', 'τετράγωνον']"
['τέτταρ/'],['τέσσαρ']
['τέχνα/'],"['τέχνη', 'τέχνης']"
['τεχναδ/'],"['τεχνάζω', 'ἐτεχνασάμην', 'τετέχνασμαι']"
['τεχνα/'],"['τεχνάομαι', 'τεχνήσομαι', 'ἐτεχνησάμην', 'τετέχνημαι']"
['τηρε/'],"['τηρέω', 'τηρήσω', 'ἐτήρησα', 'τετήρηκα', 'τετήρημαι', 'ἐτηρήθην']"
['ἀτιμία/'],"['ἀτιμίηἀτιμία', 'ἀτιμίηςἀτιμίας']"
['ἄτιμο/'],"['ἄτιμος', 'ἄτιμον']"
['τιμά/'],"['τιμή', 'τιμῆς']"
['τίμηματ/'],"['τίμημα', 'τιμήματος']"
['τιμωρε/'],"['τιμωρέω', 'τιμωρήσω', 'ἐτιμώρησα', 'τετιμώρηκα', 'τετιμώρημαι', 'ἐτιμωρήθην']"
['τιμωρία/'],"['τιμωρίητιμωρία', 'τιμωρίηςτιμωρίας']"
['τικ/'],"['τίκτω', 'τέξομαι', 'ἔτεκον', 'τέτοκα']"
['τέκνο/'],"['τέκνον', 'τέκνου']"
['ὁ/'],"['ὅστις', 'ὅ', 'τι']"
['ὁ/'],"['ὁστισοῦν', 'ὁτιοῦν']"
['τιτθό/'],"['τιτθός', 'τιτθοῦ']"
['τλα/'],"['τλάω', 'τλήσομαι', 'ἔτλην', 'τέτληκα']"
['τάλαντο/'],"['τάλαντον', 'ταλάντου']"
['τολμά/'],"['τόλμη', 'τόλμης']"
['τολμα/'],"['τολμάω', 'τολμήσω', 'ἐτόλμησα', 'τετόλμηκα', 'τετόλμημαι', 'ἐτολμήθην']"
['τραύματ/'],['τρώματ']
['τρεπ/'],"['τρεπω', 'τρεψω', 'ἐτρεψα', 'ἐτραπον', 'τετροφα', 'τετραμμαι', 'ετρεφθην', 'ετραπην']"
['ἀτραπό/'],"['ἀτραπός', 'ἀτραποῦ']"
['τρόπο/'],"['τρόπος', 'τρόπου']"
"['τρεφ/', 'θρεφ/']","['τρεφω', 'θρεψω', 'ἐθρεψα', 'τετροφα', 'τεθραμμαι', 'ετρεφθην', 'ετραφην']"
['τρεχ/'],['δραμ']
['τρηχύ/'],"['τρηχύςτραχύς', 'τρηχεῖατραχεῖα', 'τρηχύτραχύ']"
['τρί/'],"['τρεῖς', 'τρία']"
['τριηκόσιο/'],"['τριηκόσιοιτριακόσιοι', 'τριηκόσιαιτριακόσιαι', 'τριηκόσιατριακόσια']"
['τρισχίλιο/'],"['τρισχίλιοι', 'τρισχίλιαι', 'τρισχίλια']"
['τρίτο/'],"['τρίτος', 'τρίτη', 'τρίτον']"
['τριβ/'],"['τρίβω', 'τρίψω', 'ἔτριψα', 'τέτριφα', 'τέτριμμαι', 'ἐτρίφθην']"
['χρονοτριβε/'],['χρονοτριβέω']
['τρώματ/'],"['τρῶματραῦμα', 'τρώματοςτραύματος']"
['τυρό/'],"['τυρός', 'τυροῦ']"
['τυχ/'],"['τυγχανω', 'τευξομαι', 'ἐτυχον', 'τετυχηκα']"
['τόξευματ/'],"['τόξευμα', 'τοξεύματος']"
['ὑβριδ/'],"['ὑβρίζω', 'ὑβριέω', 'ὕβρισα', 'ὕβρικα', 'ὕβρισμαι', 'ὑβρίσθην']"
"['ὕδατ/', 'ὕδορ/']","['ὕδωρ', 'ὕδατος']"
['ὕστερο/'],"['ὕστερος', 'ὑστέρηὑστέρα', 'ὕστερον']"
['ὑπερῶιο/'],"['ὑπερῷον', 'ὑπερῴου']"
['ὕπνο/'],"['ὕπνος', 'ὕπνου']"
['ὑστεραία/'],"['ὑστεραίηὑσετεραία', 'ὑστεραίηςὑστεραίας']"
['ὑφαν/'],"['ὑφαίνω', 'ὑφανέω', 'ὕφηνα', 'ὕφασμαι', 'ὑφάνθην']"
['ὕψεσ/'],"['ὕψος', 'ὕψεοςὕψους']"
['ὑψηλό/'],"['ὑψηλός', 'ὑψηλή', 'ὑψηλόν']"
['πρόφασι/'],"['πρόφασις', 'προφάσιοςπροφάσεως']"
['φαν/'],"['φαινω', 'φανεω', 'ἐφηνα', 'πεφηνα', 'πεφασμαι', 'εφανην', 'εφανθην']"
['φανερό/'],"['φανερός', 'φανερήφανερά', 'φανερόν']"
['φᾶρεσ/'],"['φᾶρος', 'φάρεοςφάρεως']"
['φειδωλό/'],"['φειδωλός', 'φειδωλή', 'φειδωλόν']"
['φερ/'],"['φερω', 'οἰσω', 'ἤνεικονἠνεγκον', 'ἤνεικαἠνεγκα', 'ενηνοχα', 'ἐνήνειγμαιενηνεγμαι', 'ἠνείχθηνηνεχθην']"
['διαφορά/'],"['διαφορήδιαφορά', 'διαφορῆςδιαφορᾶς']"
['φορε/'],"['φορέω', 'φορήσω', 'ἐφόρησα', 'πεφόρημαι', 'ἐφορήθην']"
['φώρ/'],"['φῶρ', 'φωρός']"
['αὐτόφωρο/'],"['αὐτόφωρος', 'αὐτόφωρον']"
['φθερ/'],"['φθειρω', 'φθερεω', 'ἔφθειρα', 'ἔφθαρκα', 'ἔφθορα', 'ἔφθαρμαι', 'ἐφθάρην']"
['φθι/'],"['φθίνω', 'φθίσω', 'ἔφθισα', 'ἔφθικα', 'ἔφθιμαι', 'ἐφθίθην']"
['φίλο/'],"['φίλος', 'φίλη', 'φίλον']"
['φιλόφρονο/'],"['φιλόφρονος', 'φιλόφρονον']"
['φοιτα/'],"['φοιτάω', 'φοιτήσω', 'ἐφοίτησα', 'πεφοίτηκα']"
['φόνο/'],"['φόνος', 'φόνου']"
['πρόσφατο/'],"['πρόσφατος', 'πρόσφατον']"
['φραγ/'],['φράγνυμι']
['φραδ/'],"['φραζω', 'φρασω', 'ἐφρασα', 'πεφρακα', 'πεφρασμαι', 'εφρασθην']"
['φρονε/'],"['φρονέω', 'φρονήσω', 'ἐφρόνησα', 'πεφρόνηκα', 'πεφρόνημαι', 'ἐφρονήθην']"
"['ὁμο/', 'φρονε/']",['πολυφροσύνα']
['σωφρονε/'],"['σωφρονεω', 'σωφρονησω', 'εσωφρονησα', 'σεσωφρονηκα', 'σεσωφρονημαι']"
['φιλόφρον/'],"['φιλόφρων', 'φιλόφρον']"
['φρουρε/'],"['φρουρέω', 'φρουρήσω', 'ἐφρούρησα', 'πεφρούρηκα', 'πεφρούρημαι', 'ἐφρουρήθην']"
['φυγ/'],"['φευγω', 'φευξομαι', 'ἐφυγον', 'πεφευγα']"
['φυλά/'],"['φυλή', 'φυλῆς']"
['ὀμόφυλο/'],"['ὀμόφυλος', 'ὀμόφυλον']"
['φυλακ/'],"['φυλάσσωφυλαττω', 'φυλαξω', 'εφυλαξα', 'πεφυλαχα', 'πεφυλαγμαι', 'εφυλαχθην']"
['φυλακά/'],"['φυλακή', 'φυλακῆς']"
['φύλακο/'],"['φύλακος', 'φυλάκου']"
['φύλλο/'],"['φύλλον', 'φύλλου']"
['φώρ/'],['Χ']
['χαλεπό/'],"['χαλεπός', 'χαλεπή', 'χαλεπόν']"
['χαρ/'],"['χαιρω', 'χαιρησω', 'κεχαρηκα', 'ἐχάρην']"
['χάριεν/'],"['χαρίεις', 'χαρίεσσα', 'χαρίεν']"
['περιχαρέσ/'],"['περιχαρής', 'περιχαρές']"
['χεϝ/'],"['χέω', 'χέω', 'ἔχεα', 'κέχυκα', 'κέχυμαι', 'ἐχύθην']"
"['κατα/', 'χο/']","['καταχόω', 'καταχώσω', 'κατέχωσα', 'κατακέχωκα', 'κατακέχωσμαι', 'κατεχώσθην']"
['χειμών/'],"['χειμών', 'χειμῶνος']"
['χείρ/'],"['χείρ', 'χειρός', 'χερσί']"
"['ἐπι/', 'χειρε/']","['ἐπιχειρέω', 'ἐπιχειρήσω', 'ἐπεχείρησα', 'ἐπικεχείρηκα', 'ἐπικεχείρημαι', 'ἐπεχειρήθην']"
['χερσαίο/'],"['χερσαῖος', 'χερσαία', 'χερσαῖον']"
['χίλιο/'],"['χίλιος', 'χιλίηχιλία', 'χίλιον']"
['χιλιάδ/'],"['χιλιάς', 'χιλιάδος']"
['χλωρό/'],"['χλωρός', 'χλωρήχλωρά', 'χλωρόν']"
['χρα/'],"['χράω', 'χρήσω', 'ἔχρησα', 'κέκρηκα', 'κέχρησμαι', 'ἐχρήσθην']"
['χρα/'],"['χραομαι', 'χρησομαι', 'εχρησαμην', 'κεχρημαι', 'εχρησθην']"
['χρήματ/'],"['χρῆμα', 'χρήματος']"
['χρηστό/'],"['χρηστός', 'χρηστή', 'χρηστόν']"
['χρόνο/'],"['χρόνος', 'χρόνου']"
['χρύσεο/'],"['χρύσεοςχρυσοῦς', 'χρυσέηχρυσῆ', 'χρύσεονχρυσοῦν']"
['χώρο/'],"['χῶρος', 'χώρου']"
['ἐπιχώριο/'],"['ἐπιχώριος', 'ἐπιχώριον']"
['χώρα/'],"['χώρηχώρα', 'χώρηςχώρας']"
['χωρε/'],"['χωρέω', 'χωρήσω', 'ἐχώρησα', 'κεχώρηκα', 'κεχώρημαι', 'ἐχωρήθην']"
['χωρίο/'],"['χωρίον', 'χωρίου']"
['ψευδ/'],"['ψεύδω', 'ψεύσω', 'ἔψευσα', 'ἔψευσμαι', 'ἐψεύσθην']"
['ψευστά/'],"['ψευστής', 'ψευστοῦ']"
['ψήφο/'],"['ψῆφος', 'ψήφου']"
['ψηφιδ/'],"['ψηφίζω', 'ψηφίσομαιψηφιέομαι', 'ἐψήφισα', 'ἐψήφικα', 'ἐψήφισμαι', 'ἐψηφίσθην']"
['ψιμυθιο/'],"['ψιμυθιόω', 'ψιμυθιώσω', 'ἐψιμυθίωμαι']"
['ψόφο/'],"['ψόφος', 'ψόφου']"
['ψοφε/'],"['ψοφέω', 'ψοφήσω', 'ἐψόφησα', 'ἐψοφηκα']"
['ψυχά/'],"['ψυχή', 'ψηχῆς']"
['ὠθισμό/'],"['ὠθισμός', 'ὠθισμοῦ']"
['ὤμο/'],"['ὦμος', 'ὤμου']"
